,Diagnosis,Vs_Norm_Diagnosis,Region_Column,ROI_Name,Diagnosis_Mean,Diagnosis_Std,Norm_Mean,Norm_Std,Mean_Difference,Cliffs_Delta,Cliffs_Delta_CI_Low,Cliffs_Delta_CI_High,Significant_Bootstrap_p05_uncorrected,Cohens_d,P_Value_Uncorrected,Abs_Cliffs_Delta,Abs_Cohens_d
0,MDD,HC,region_0_z_score,[N] 3rd Ventricle (Vgm),1.0416151664133113,1.1855325754693964,0.979227385297181,1.1629233914208044,0.0623877811161303,0.03049714524439493,-0.05207525149037473,0.1192366098368048,False,0.05325675258091078,0.58625,0.03049714524439493,0.05325675258091078
1,MDD,HC,region_1_z_score,[N] 4th Ventricle (Vgm),0.8176798091096792,1.1808644652637021,1.028710915139384,1.5135970043977525,-0.21103110602970487,-0.0541442032877766,-0.1408279785943064,0.02284467609631236,False,-0.15093781462140227,0.49375,0.0541442032877766,0.15093781462140227
2,MDD,HC,region_2_z_score,[N] Brain Stem (Vgm),0.7930751251995835,1.026750032705433,1.0224065939127425,1.4184387290723814,-0.22933146871315901,-0.0543298784490819,-0.1381356887553796,0.023534326695446316,False,-0.17838241458240967,0.5225,0.0543298784490819,0.17838241458240967
3,MDD,HC,region_3_z_score,[N] CSF (Vgm),1.1737533001167355,1.6255885245577213,0.9959449562213949,1.2569471261571707,0.17780834389534061,0.046438684093606804,-0.039635015682919876,0.12669014131206027,False,0.1264139961092473,0.49625,0.046438684093606804,0.1264139961092473
4,MDD,HC,region_4_z_score,[N] Cerebellar Vermal Lobules I-V (Vgm),1.0981510064047373,1.4120209766915204,0.890155079842044,1.3346606945933406,0.20799592656269328,0.12840100529837337,0.039754378286616134,0.21049595161835796,True,0.1524690035493104,0.4625,0.12840100529837337,0.1524690035493104
5,MDD,HC,region_5_z_score,[N] Cerebellar Vermal Lobules VI-VII (Vgm),1.1390112557521004,1.565391186678837,0.9392068902313958,1.2637102392623458,0.19980436552070457,0.06119985941737787,-0.01999323611912388,0.1419685545851818,False,0.14430838230442167,0.485,0.06119985941737787,0.14430838230442167
6,MDD,HC,region_6_z_score,[N] Cerebellar Vermal Lobules VIII-X (Vgm),1.0733528975428082,2.2087107933972447,0.9212795500498165,1.2944635796063864,0.15207334749299162,-0.02228765061239647,-0.10909078852262252,0.05970119561541369,False,0.08966187192207263,0.65875,0.02228765061239647,0.08966187192207263
7,MDD,HC,region_7_z_score,[N] Left ACgG anterior cingulate gyrus (Vgm),1.5643503171460162,2.2142814513276585,0.9793866247461246,1.5000481762940225,0.5849636923998917,0.16478007440268963,0.08222094017944179,0.24893071000855432,True,0.3247303030104681,0.51125,0.16478007440268963,0.3247303030104681
8,MDD,HC,region_8_z_score,[N] Left AIns anterior insula (Vgm),1.3037628806695931,1.8353997734309346,0.989544503485806,1.4046971324483903,0.3142183771837871,0.0810936267000882,-0.0011472072466362955,0.1672203765227021,False,0.19886867066021743,0.51125,0.0810936267000882,0.19886867066021743
9,MDD,HC,region_9_z_score,[N] Left AOrG anterior orbital gyrus (Vgm),1.031878668923949,1.4730962238822105,0.9685341000482086,1.3744387716953852,0.06334456887574036,-0.007380587661885531,-0.08704849437337948,0.07638543510984676,False,0.04485386673836648,0.86,0.007380587661885531,0.04485386673836648
10,MDD,HC,region_10_z_score,[N] Left Accumbens Area (Vgm),0.8513771393049393,1.0937880875100945,0.808904298248813,1.1452545538407901,0.042472841056126254,0.06841466568524081,-0.007393850173407338,0.14626560831824723,False,0.037712394967975155,0.50125,0.06841466568524081,0.037712394967975155
