ROI_Name,CTT-SCHZ,CTT-MDD,CTT-high_GAF_Score,CTT-low_GAF_Score,CTT-high_PANSS_Positive,CTT-low_PANSS_Positive,CTT-high_PANSS_Negative,CTT-low_PANSS_Negative,CTT-high_PANSS_General,CTT-low_PANSS_General,CTT-high_PANSS_Total,CTT-low_PANSS_Total,CTT-high_BPRS_Total,CTT-low_BPRS_Total,CTT-high_NCRS_Motor,CTT-low_NCRS_Motor,CTT-high_NCRS_Affective,CTT-low_NCRS_Affective,CTT-high_NCRS_Behavioral,CTT-low_NCRS_Behavioral,CTT-high_NCRS_Total,CTT-low_NCRS_Total,CTT-high_NSS_Motor,CTT-low_NSS_Motor,CTT-high_NSS_Total,CTT-low_NSS_Total
[L] lRecG (Vgm),0.3770756359621183,0.41006875138611665,0.5278673422385998,0.3139554224883566,0.5041916167664671,0.3598565580703001,0.37192282102461743,0.4053997268620653,0.5001301744337412,0.3390473954052679,0.49525948103792417,0.35983206001789525,0.44765015423698057,-0.09381237524950099,0.4322933081206009,0.3741970604246053,0.39501641877535254,0.3586161011310712,0.35956658112346734,0.4470259481037924,0.44274414134693574,0.35830466726122223,0.5072711719418306,0.3767688503589835,0.25349301397205587,0.4078919084907109
[L] rRecG (Vgm),0.3725740009343016,0.2889776003548459,0.43144480270228774,0.2936626746506986,0.27451763140385893,0.35924760648195136,0.3416500332667997,0.3424729488391638,0.3409702334461512,0.3425697624359125,0.22105788423153694,0.375455984582559,0.3551684509768342,0.2340319361277445,0.49028259270931823,0.2908727998548358,0.3250273646255875,0.4301397205588822,0.28624383885290644,0.45149700598802395,0.39247431063798327,0.31311844396313754,0.27573424579412603,0.34900348556618105,0.1235307163450876,0.37233225855980345
[N] Right ITG inferior temporal gyrus (Vgm),0.12676774111351766,0.5001108893324462,0.1592200214954706,0.31919494344644045,0.13160345974717233,0.29639027030684395,0.33998669328010644,0.19004097069019854,0.20437386097370477,0.2894211576846307,0.34206586826347307,0.24117282676027255,0.26758604004112985,0.2250499001996008,0.009349721609412753,0.35060787515877334,0.33429914364818747,-0.10545575515635396,0.30351541814330524,0.18355289421157683,0.3045021068973165,0.2391387437890177,0.19988594240091245,0.26958024250007445,0.3439787092481703,0.25177337632427454
[N] Brain Stem (Vgm),-0.23956342633881172,-0.3586161011310712,-0.19330569629970829,-0.3315868263473054,-0.25269461077844313,-0.2907067221489225,-0.21956087824351297,-0.3431032671499107,-0.17747114466718736,-0.3305937145317209,-0.046656686626746505,-0.34820015142129535,-0.2625052924454122,-0.45209580838323354,-0.13898518751969743,-0.3327526764652513,-0.29283368746378213,-0.2322022621423819,-0.24632367917226772,-0.35489021956087824,-0.23501145856435277,-0.3105703486643734,-0.07385229540918163,-0.3048529806059523,-0.11332889776003549,-0.3064947029018885
[N] Right GRe gyrus rectus (Vgm),0.2537478235019323,0.3325940711170252,0.23092276984492555,0.31046240851630075,0.08157019294743846,0.33360397848371054,0.26491461521401644,0.2991910915012081,0.192918510804478,0.32292278188720597,-0.031187624750499,0.3690549934613532,0.28911873223250467,0.2280439121756487,0.4253598067023847,0.23317002358918526,0.2874251497005988,0.2571523619427811,0.2055888223552894,0.4332934131736527,0.3220965476454498,0.2597783157090075,0.020815511833475905,0.3098578961480025,-0.100909292526059,0.33560571165361586
[N] Left OCP occipital pole (Vgm),0.18834671083365184,0.39247431063798327,0.2077383694150161,0.2926646706586826,0.19760479041916168,0.2794072871206739,0.222111332889776,0.3013972055888224,0.150394862449015,0.3135298031388204,0.18263473053892215,0.28494734668593846,0.2500453638178189,0.36826347305389223,0.13919529362327976,0.30553438577390674,0.3004957826282918,0.06819693945442448,0.3893844963134955,0.014770459081836327,0.44437051822281365,0.158533995838111,0.058454519532363844,0.2841779128310543,0.03348857839875804,0.2945800706279748
[N] Right Thalamus Proper (Vgm),-0.17356775810081965,-0.3794632956309603,-0.11469368954398894,-0.3212741184298071,-0.20612109115103128,-0.25951486856794886,-0.277888667110224,-0.22103162096858914,-0.3116375943764645,-0.2203044890610935,-0.26122754491017963,-0.24523367058985476,-0.30309078812072826,0.2000998003992016,-0.20958083832335328,-0.26220286699328615,-0.32277380722426113,0.13406520292747837,-0.22783005417735958,-0.2895808383233533,-0.26739114363864863,-0.23794963264959443,-0.4405474764756202,-0.2286471832454494,-0.3253493013972056,-0.23807769077230156
[N] Left Thalamus Proper (Vgm),-0.12957064594215822,-0.4208619797442153,-0.06955320128972824,-0.3259314703925482,-0.11057884231536926,-0.2677018843668595,-0.229208250166334,-0.2421472843786112,-0.24273192744944894,-0.23275018590270438,-0.12649700598802396,-0.26601968476839427,-0.2926873525675921,0.23303393213572854,-0.15306229645971214,-0.264452912357104,-0.28298242225226966,0.007651363938789089,-0.22856328160006517,-0.25013972055888223,-0.24890958823094553,-0.22835180702424937,-0.21984602224123181,-0.2375249500998004,-0.06941672211133289,-0.2588975894365116
[L] rIns (Vgm),0.28933622117467195,0.25290160419900937,0.3313373253493014,0.2460911510312708,0.2998003992015968,0.2700023681450658,0.2476158793524063,0.30297300136568966,0.21391998611472707,0.3040585495675316,0.2834331337325349,0.274003716704522,0.2642593600677433,0.37325349301397204,0.28269776236999683,0.27374342224641623,0.25909471379821003,0.36360612109115104,0.2831479897348161,0.26211576846307383,0.2938567309824795,0.26580880791608275,0.017393783860849728,0.3030655107695058,0.029940119760479042,0.31011822508828496
[N] Right AOrG anterior orbital gyrus (Vgm),0.272688665222746,0.263694832557108,0.30293259634577,0.25124750499001997,0.3306719893546241,0.25383132041002743,0.22787757817697937,0.30875091921420317,0.41369435042957564,0.20433642518883802,0.3253493013972056,0.25397480900268427,0.26038831428052983,0.343812375249501,0.37808593339636515,0.23186354563600073,0.28613740261412657,0.18296739853626082,0.34148030469672896,0.1281437125748503,0.28720337103570637,0.2591837601392959,0.6150556030795552,0.23329460482021033,0.45398092703481924,0.24385076001842468
